2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_MNGMNT_TASKS
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_DATA_COLLCTN_TASKS
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_CERT_TRAINING
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON_RACE
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_HOUSEHOLD
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PARTICIPANT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_CONSENT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_VIS_CONSENT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_DETAILS
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_STATUS_HISTORY
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PROVIDER
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PROVIDER
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTITUTION
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_INSTITUTE
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table ADDRESS
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table TELEPHONE
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table EMAIL
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table EVENT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTRUMENT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table CONTACT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_CONTACT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_VACANT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_NOACCESS
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_REFUSAL
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_MEDIA
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_UNANTICIPATED
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_STAFF
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_EVAL
2010/11/08 11:16:46 INFO - main:: - Application completed in 1 seconds.
2010/11/08 11:19:29 INFO - main:: - ** NCS Data Transmission File Generator **
2010/11/08 11:19:29 DEBUG - Ncs::Soap::SoapNcs::init - SOAP session id is:8fqvrkvd5t79gb29jq02u9o852
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STUDY_CENTER
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LISTING_UNIT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table SSU
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table TSU
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PSU
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table DWELLING_UNIT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LING_HOUSEHOLD_DWELLING
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table HOUSEHOLD_UNIT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_LANGUAGE
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_VALIDATION
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_WEEKLY_EXPENSE
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_MNGMNT_TASKS
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_DATA_COLLCTN_TASKS
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_CERT_TRAINING
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON_RACE
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_HOUSEHOLD
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PARTICIPANT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_CONSENT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_VIS_CONSENT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_DETAILS
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_STATUS_HISTORY
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table PROVIDER
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PROVIDER
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTITUTION
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_INSTITUTE
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table ADDRESS
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table TELEPHONE
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table EMAIL
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table EVENT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTRUMENT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table CONTACT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_CONTACT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_VACANT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_NOACCESS
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_REFUSAL
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_MEDIA
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_UNANTICIPATED
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_STAFF
2010/11/08 11:19:29 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_EVAL
2010/11/08 11:19:29 INFO - main:: - Application completed in 1 seconds.
2010/11/09 10:34:05 INFO - main:: - ** NCS Data Transmission File Generator **
2010/11/09 10:34:07 DEBUG - Ncs::Soap::SoapNcs::init - SOAP session id is:hehc8itmq500k9m2roc7k1kgr1
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STUDY_CENTER
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LISTING_UNIT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table SSU
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table TSU
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PSU
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table DWELLING_UNIT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LING_HOUSEHOLD_DWELLING
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table HOUSEHOLD_UNIT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_LANGUAGE
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_VALIDATION
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_WEEKLY_EXPENSE
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_MNGMNT_TASKS
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_DATA_COLLCTN_TASKS
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_CERT_TRAINING
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON_RACE
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_HOUSEHOLD
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PARTICIPANT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_CONSENT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_VIS_CONSENT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_DETAILS
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_STATUS_HISTORY
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table PROVIDER
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PROVIDER
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTITUTION
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_INSTITUTE
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table ADDRESS
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table TELEPHONE
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table EMAIL
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table EVENT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTRUMENT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table CONTACT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_CONTACT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_VACANT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_NOACCESS
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_REFUSAL
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_MEDIA
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_UNANTICIPATED
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_STAFF
2010/11/09 10:34:07 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_EVAL
2010/11/09 10:34:07 INFO - main:: - Application completed in 3 seconds.
2010/11/09 10:47:47 INFO - main:: - ** NCS Data Transmission File Generator **
2010/11/09 10:47:47 DEBUG - Ncs::Soap::SoapNcs::init - SOAP session id is:lfv7tp6u7rfgt22lqu6cfj6vh7
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STUDY_CENTER
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table LISTING_UNIT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table SSU
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table TSU
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PSU
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table DWELLING_UNIT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table LING_HOUSEHOLD_DWELLING
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table HOUSEHOLD_UNIT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_LANGUAGE
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_VALIDATION
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_WEEKLY_EXPENSE
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_MNGMNT_TASKS
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_DATA_COLLCTN_TASKS
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_CERT_TRAINING
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON_RACE
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_HOUSEHOLD
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PARTICIPANT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_CONSENT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_VIS_CONSENT
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_DETAILS
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_STATUS_HISTORY
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table PROVIDER
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PROVIDER
2010/11/09 10:47:47 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTITUTION
